Dept ECSE
Coursenum  Class Title                     Day        Start Time  End Time
4750-01    COMPUTER_GRAPHICS               Wednesday  06:00PM     07:20PM 
4750-01    COMPUTER_GRAPHICS               Thursday   04:00PM     05:20PM 
4770-01    COMPUTER_HARDWARE_DESIGN        Monday     12:00PM     02:50PM 
4770-01    COMPUTER_HARDWARE_DESIGN        Tuesday    07:00PM     08:50PM 
4770-01    COMPUTER_HARDWARE_DESIGN        Tuesday    12:30PM     01:50PM 
4770-01    COMPUTER_HARDWARE_DESIGN        Friday     12:30PM     01:50PM 
4790-01    MICROPROCESSOR_SYSTEMS          Monday     06:00PM     08:50PM 
4790-01    MICROPROCESSOR_SYSTEMS          Monday     04:00PM     05:50PM 
4790-01    MICROPROCESSOR_SYSTEMS          Thursday   06:00PM     08:50PM 
4900-01    MULTIDISCIPLINARY_CAP_DESIGN    Monday     10:00AM     11:50AM 
4900-01    MULTIDISCIPLINARY_CAP_DESIGN    Thursday   10:00AM     11:50AM 
4900-02    MULTIDISCIPLINARY_CAP_DESIGN    Monday     12:00PM     01:50PM 
4900-02    MULTIDISCIPLINARY_CAP_DESIGN    Thursday   12:00PM     01:50PM 
4900-03    MULTIDISCIPLINARY_CAP_DESIGN    Tuesday    10:00AM     11:50AM 
4900-03    MULTIDISCIPLINARY_CAP_DESIGN    Friday     10:00AM     11:50AM 
4900-04    MULTIDISCIPLINARY_CAP_DESIGN    Tuesday    12:00PM     01:50PM 
4900-04    MULTIDISCIPLINARY_CAP_DESIGN    Friday     12:00PM     01:50PM 
4961-01    MOD&SIM_FOR_CYBER-PHYSICAL_SYS  Tuesday    12:30PM     01:50PM 
4961-01    MOD&SIM_FOR_CYBER-PHYSICAL_SYS  Friday     12:30PM     01:50PM 
4962-01    INTRODUCTION-MACHINE_LEARNING   Tuesday    02:00PM     03:20PM 
4962-01    INTRODUCTION-MACHINE_LEARNING   Friday     02:00PM     03:20PM 
83 entries

